,basic_date,stockname,close_value,volume_value,diff_value,diff_value_rate,ma3_value,ma3_rate,cv3d_diff_rate,vv_diff_value,ud_3d
117,20170710,에듀파트너,3445,0,-5.0,-0.1449,3448.3333333333335,-1.33907221425155,-0.8695652173913043,0.0,0
118,20170711,에듀파트너,3420,301,-25.0,-0.7257,3438.3333333333335,-1.7703349282296739,-1.4492753623188406,301.0,-1
119,20170712,에듀파트너,3400,301,-20.0,-0.5848,3421.6666666666665,-1.5949734171097147,-2.467343976777939,0.0,-1
120,20170713,에듀파트너,3360,401,-40.0,-1.1765,3393.3333333333335,-6.737760542898699,-16.374269005847953,100.0,-1
121,20170714,에듀파트너,2860,400,-500.0,-14.881,3206.6666666666665,-11.690209449585973,-16.323529411764707,-1.0,-1
122,20170717,에듀파트너,2845,401,-15.0,-0.5245,3021.6666666666665,-16.797642436149314,-17.708333333333336,1.0,-1
123,20170718,에듀파트너,2765,400,-80.0,-2.812,2823.3333333333335,-13.77338877338877,-6.118881118881119,-1.0,-1
124,20170719,에듀파트너,2685,400,-80.0,-2.8933,2765.0,-6.894649751792599,5.0966608084358525,0.0,0
125,20170720,에듀파트너,2990,1,305.0,11.3594,2813.3333333333335,7.43801652892562,23.869801084990957,-399.0,0
126,20170721,에듀파트너,3425,1,435.0,14.5485,3033.3333333333335,24.713682941531047,46.36871508379888,0.0,1
127,20170724,에듀파트너,3930,1,505.0,14.7445,3448.3333333333335,33.64928909952606,31.270903010033447,0.0,0
128,20170725,에듀파트너,3925,301,-5.0,-0.1272,3760.0,23.02197802197801,-2.4817518248175183,300.0,0
129,20170726,에듀파트너,3340,300,-585.0,-14.9045,3731.6666666666665,5.944900918318028,-5.979643765903308,-1.0,0
130,20170727,에듀파트너,3695,1,355.0,10.6287,3653.3333333333335,-0.04432624113474774,8.025477707006369,-299.0,0
131,20170728,에듀파트너,4240,1,545.0,14.7497,3758.3333333333335,14.381420276909331,45.808383233532936,0.0,1
132,20170731,에듀파트너,4870,1,630.0,14.8585,4268.333333333333,20.89416058394161,12.043301759133964,0.0,0
133,20170801,에듀파트너,4140,300,-730.0,-14.9897,4416.666666666667,22.084257206208413,12.14622641509434,299.0,0
134,20170802,에듀파트너,4755,1,615.0,14.8551,4588.333333333333,1.0542756735650136,-16.940451745379878,-299.0,0
135,20170803,에듀파트너,4045,300,-710.0,-14.9317,4313.333333333333,-6.452830188679245,-13.16425120772947,299.0,0
136,20170804,에듀파트너,3595,2,-450.0,-11.1248,4131.666666666667,-22.266618234653105,-35.646687697160885,-298.0,-1
137,20170807,에듀파트너,3060,300,-535.0,-14.8818,3566.6666666666665,-28.438948995363212,-35.59950556242274,298.0,-1
138,20170808,에듀파트너,2605,400,-455.0,-14.8693,3086.6666666666665,-36.425978217023,-38.38664812239222,100.0,-1
139,20170809,에듀파트너,2215,400,-390.0,-14.9712,2626.6666666666665,-37.336448598130836,-38.39869281045752,0.0,-1
