,Unnamed: 0,basic_date,stockname,close_value,volume_value,diff_value,diff_value_rate,ma3_value,ma3_rate,cv3d_diff_rate,vv_diff_value,vv_ma3_value,vv_ma3_rate,ud_3d,predicted
90,90,20170531,에듀파트너,2040,500,-60.0,-2.8571,2061.6666666666665,-0.4784688995215311,2.689486552567237,-106.0,535.3333333333334,6.487835308796001,0,Learning Data
91,91,20170601,에듀파트너,2100,601,60.0,2.9412,2080.0,-1.1990407673860912,-2.8571428571428568,101.0,569.0,-0.4353233830845842,0,Learning Data
92,92,20170602,에듀파트너,2040,500,-60.0,-2.8571,2060.0,0.8892481810832733,2.9411764705882346,-101.0,533.6666666666666,5.9775840597758405,0,Learning Data
93,93,20170605,에듀파트너,2100,601,60.0,2.9412,2080.0,0.9615384615384616,2.8571428571428568,101.0,567.3333333333334,81.72231985940246,0,Learning Data
94,94,20170607,에듀파트너,2160,2001,60.0,2.8571,2100.0,4.773462783171529,8.57843137254902,1400.0,1034.0,93.8163647720175,1,Learning Data
95,95,20170608,에듀파트너,2215,501,55.0,2.5463,2158.333333333333,6.410256410256418,7.857142857142858,-1500.0,1034.3333333333333,76.43948296122208,1,Learning Data
96,96,20170609,에듀파트너,2265,501,50.0,2.2573,2213.333333333333,6.984126984126978,4.62962962962963,0.0,1001.0,-51.547388781431344,0,Learning Data
97,97,20170612,에듀파트너,2260,501,-5.0,-0.2208,2246.6666666666665,5.6370656370656285,4.514672686230249,0.0,501.0,-51.563003544956494,0,Learning Data
98,98,20170613,에듀파트너,2315,501,55.0,2.4336,2280.0,8.885542168674691,17.218543046357613,0.0,501.0,-61.03896103896104,0,Learning Data
99,99,20170614,에듀파트너,2655,168,340.0,14.6868,2410.0,7.270029673590512,0.0,-333.0,390.0,-28.875582168995344,0,Learning Data
100,100,20170615,에듀파트너,2260,400,-395.0,-14.8776,2410.0,4.67836257309941,-3.0237580993520514,232.0,356.33333333333326,-28.875582168995344,0,Learning Data
101,101,20170616,에듀파트너,2245,501,-15.0,-0.6637,2386.6666666666665,-2.0746887966804977,-3.0131826741996237,101.0,356.33333333333326,-22.905982905982903,0,Learning Data
102,102,20170619,에듀파트너,2575,1,330.0,14.6993,2360.0,7.5380359612724686,30.75221238938053,-500.0,300.6666666666667,-52.9466791393826,0,Learning Data
103,103,20170620,에듀파트너,2955,1,380.0,14.7573,2591.6666666666665,24.58100558659219,51.002227171492216,0.0,167.66666666666666,-97.28718428437791,1,Learning Data
104,104,20170621,에듀파트너,3390,27,435.0,14.7208,2973.333333333333,36.158192090395495,27.96116504854369,26.0,9.666666666666666,-52.54988913525499,0,Learning Data
105,105,20170622,에듀파트너,3295,400,-95.0,-2.8024,3213.333333333333,27.138263665594863,8.29103214890017,373.0,142.66666666666666,64.41351888667994,0,Learning Data
106,106,20170623,에듀파트너,3200,400,-95.0,-2.8832,3295.0,9.697309417040348,-2.949852507374631,0.0,275.6666666666667,4041.379310344828,0,Learning Data
107,107,20170626,에듀파트너,3290,401,90.0,2.8125,3261.666666666666,1.3485477178423142,-0.4552352048558422,1.0,400.33333333333326,180.84112149532712,0,Learning Data
108,108,20170627,에듀파트너,3280,401,-10.0,-0.304,3256.666666666666,-1.3151239251391045,-0.46875,0.0,400.66666666666674,45.344619105199506,0,Learning Data
109,109,20170628,에듀파트너,3185,400,-95.0,-2.8963,3251.666666666666,3.372508942258559,10.94224924012158,-1.0,400.66666666666674,-30.39134054954204,0,Learning Data
110,110,20170629,에듀파트너,3650,35,465.0,14.5997,3371.666666666666,6.243602865916075,8.079268292682928,-365.0,278.6666666666667,-38.85191347753744,0,Learning Data
111,111,20170630,에듀파트너,3545,300,-105.0,-2.8767,3460.0,13.223987698616094,20.87912087912088,265.0,245.0,-71.96339434276206,0,Learning Data
112,112,20170703,에듀파트너,3850,2,305.0,8.6037,3681.666666666666,7.26643598615917,-5.3424657534246585,-298.0,112.33333333333331,-63.8755980861244,0,Learning Data
113,113,20170704,에듀파트너,3455,0,-395.0,-10.2597,3616.666666666666,4.576107899807326,0.14104372355430184,-2.0,100.66666666666669,-58.77551020408164,0,Learning Data
114,114,20170705,에듀파트너,3550,301,95.0,2.7496,3618.333333333334,-5.3417836124943365,-10.389610389610391,301.0,101.0,78.33827893175076,0,Learning Data
115,115,20170706,에듀파트너,3450,300,-100.0,-2.8169,3485.0,-3.686635944700453,-0.1447178002894356,-1.0,200.33333333333331,99.00662251655628,0,Learning Data
116,116,20170707,에듀파트너,3450,0,0.0,0.0,3483.333333333333,-4.698295716259788,-2.9577464788732395,-300.0,200.33333333333331,-0.99009900990099,0,Learning Data
117,117,20170710,에듀파트너,3445,0,-5.0,-0.1449,3448.333333333333,-1.33907221425155,-0.8695652173913043,0.0,100.0,-49.91680532445924,0,Learning Data
118,118,20170711,에듀파트너,3420,301,-25.0,-0.7257,3438.333333333333,-1.770334928229674,-1.4492753623188406,301.0,100.33333333333331,0.1663893510815213,-1,Learning Data
119,119,20170712,에듀파트너,3400,301,-20.0,-0.5848,3421.666666666666,-1.5949734171097147,-2.467343976777939,0.0,200.66666666666663,234.3333333333333,-1,Learning Data
120,120,20170713,에듀파트너,3360,401,-40.0,-1.1765,3393.333333333333,-6.737760542898699,-16.374269005847953,100.0,334.3333333333333,266.1129568106313,-1,Learning Data
121,121,20170714,에듀파트너,2860,400,-500.0,-14.880999999999998,3206.666666666666,-11.690209449585971,-16.323529411764707,-1.0,367.33333333333326,99.66777408637877,-1,Learning Data
122,122,20170717,에듀파트너,2845,401,-15.0,-0.5245,3021.666666666666,-16.797642436149314,-17.708333333333336,1.0,400.66666666666674,19.740777666999005,-1,Learning Data
123,123,20170718,에듀파트너,2765,400,-80.0,-2.812,2823.333333333333,-13.773388773388769,-6.118881118881119,-1.0,400.33333333333326,8.983666061705993,-1,Learning Data
124,124,20170719,에듀파트너,2685,400,-80.0,-2.8933,2765.0,-6.894649751792599,5.0966608084358525,0.0,400.33333333333326,-33.36106489184692,0,Learning Data
125,125,20170720,에듀파트너,2990,1,305.0,11.3594,2813.333333333333,7.43801652892562,23.86980108499096,-399.0,267.0,-66.52789342214821,0,Learning Data
126,126,20170721,에듀파트너,3425,1,435.0,14.5485,3033.333333333333,24.71368294153105,46.36871508379888,0.0,134.0,-99.75020815986679,1,Learning Data
127,127,20170724,에듀파트너,3930,1,505.0,14.7445,3448.333333333333,33.64928909952606,31.27090301003345,0.0,1.0,-62.17228464419475,0,Learning Data
128,128,20170725,에듀파트너,3925,301,-5.0,-0.1272,3760.0,23.02197802197801,-2.4817518248175183,300.0,101.0,49.75124378109452,0,Learning Data
129,129,20170726,에듀파트너,3340,300,-585.0,-14.9045,3731.666666666666,5.9449009183180275,-5.979643765903307,-1.0,200.66666666666663,19966.666666666664,0,Learning Data
130,130,20170727,에듀파트너,3695,1,355.0,10.6287,3653.333333333334,-0.044326241134747736,8.025477707006369,-299.0,200.66666666666663,-0.33003300330032537,0,Learning Data
131,131,20170728,에듀파트너,4240,1,545.0,14.7497,3758.333333333334,14.381420276909333,45.808383233532936,0.0,100.66666666666669,-99.5016611295681,1,Learning Data
132,132,20170731,에듀파트너,4870,1,630.0,14.8585,4268.333333333333,20.89416058394161,12.043301759133966,0.0,1.0,-49.833887043189364,0,Learning Data
133,133,20170801,에듀파트너,4140,300,-730.0,-14.9897,4416.666666666667,22.084257206208417,12.14622641509434,299.0,100.66666666666669,0.0,0,Learning Data
134,134,20170802,에듀파트너,4755,1,615.0,14.8551,4588.333333333333,1.0542756735650136,-16.940451745379878,-299.0,100.66666666666669,19933.333333333336,0,Learning Data
135,135,20170803,에듀파트너,4045,300,-710.0,-14.9317,4313.333333333333,-6.452830188679246,-13.164251207729471,299.0,200.33333333333331,0.3311258278145648,0,Learning Data
136,136,20170804,에듀파트너,3595,2,-450.0,-11.1248,4131.666666666667,-22.266618234653105,-35.646687697160885,-298.0,101.0,99.33774834437084,-1,Learning Data
137,137,20170807,에듀파트너,3060,300,-535.0,-14.8818,3566.666666666666,-28.438948995363212,-35.59950556242274,298.0,200.66666666666663,16.8053244592346,-1,Learning Data
138,138,20170808,에듀파트너,2605,400,-455.0,-14.8693,3086.666666666666,-36.425978217023,-38.386648122392224,100.0,234.0,263.036303630363,-1,Learning Data
139,139,20170809,에듀파트너,2215,400,-390.0,-14.9712,2626.6666666666665,-37.33644859813084,-38.398692810457526,0.0,366.66666666666674,115.9468438538206,-1,Learning Data
140,140,20170810,에듀파트너,1885,500,-330.0,-14.8984,2235.0,-38.33693304535637,-38.1957773512476,100.0,433.33333333333326,113.8176638176638,-1,Learning Data
